"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
326,"20241130",정규시즌,수원 KT 아레나,KT,현대모비스
327,"20241130",정규시즌,고양 소노 아레나,소노,LG
328,"20241130",정규시즌,잠실실내체육관,삼성,DB
329,"20241005",KBL컵대회,제천체육관,상무,삼성
330,"20241005",KBL컵대회,제천체육관,소노,현대모비스
331,"20241006",KBL컵대회,제천체육관,KT,KCC
332,"20241006",KBL컵대회,제천체육관,SK,DB
333,"20241007",KBL컵대회,제천체육관,KGC,소노
334,"20241007",KBL컵대회,제천체육관,한국가스공사,상무
335,"20241008",KBL컵대회,제천체육관,LG,KT
336,"20241008",KBL컵대회,제천체육관,DB,SK
337,"20241009",KBL컵대회,제천체육관,삼성,한국가스공사
338,"20241009",KBL컵대회,제천체육관,현대모비스,KGC
339,"20241010",KBL컵대회,제천체육관,KCC,LG
340,"20241012",KBL컵대회,제천체육관,현대모비스,DB
341,"20241012",KBL컵대회,제천체육관,한국가스공사,KT
342,"20241013",KBL컵대회,제천체육관,DB,KT
343,"20241019",정규시즌,부산사직체육관,KCC,KT
344,"20241019",정규시즌,원주종합체육관,DB,삼성
345,"20241019",정규시즌,창원체육관,LG,한국가스공사
346,"20241020",정규시즌,수원 KT 아레나,KT,삼성
347,"20241020",정규시즌,잠실학생체육관,SK,KGC
348,"20241020",정규시즌,울산동천체육관,현대모비스,소노
349,"20241021",정규시즌,창원체육관,LG,KCC
350,"20241022",정규시즌,잠실학생체육관,SK,DB
351,"20241023",정규시즌,부산사직체육관,KCC,소노
352,"20241024",정규시즌,원주종합체육관,DB,한국가스공사
353,"20241024",정규시즌,창원체육관,LG,KGC
354,"20241025",정규시즌,부산사직체육관,KCC,현대모비스
355,"20241025",정규시즌,수원 KT 아레나,KT,SK
356,"20241026",정규시즌,대구체육관,한국가스공사,삼성
357,"20241026",정규시즌,고양 소노 아레나,소노,LG
358,"20241026",정규시즌,안양 정관장 아레나,KGC,DB
359,"20241027",정규시즌,잠실실내체육관,삼성,SK
360,"20241027",정규시즌,수원 KT 아레나,KT,현대모비스
361,"20241027",정규시즌,원주종합체육관,DB,KCC
362,"20241028",정규시즌,고양 소노 아레나,소노,KGC
363,"20241029",정규시즌,잠실실내체육관,삼성,KCC
364,"20241030",정규시즌,안양 정관장 아레나,KGC,한국가스공사
365,"20241031",정규시즌,고양 소노 아레나,소노,KT
366,"20241031",정규시즌,잠실실내체육관,삼성,현대모비스
367,"20240501",챔피언결정전,부산사직체육관,KCC,KT
368,"20240503",챔피언결정전,부산사직체육관,KCC,KT
369,"20240505",챔피언결정전,수원 KT 아레나,KT,KCC
370,"20240404",플레이오프,잠실학생체육관,SK,KCC
371,"20240405",플레이오프,수원 KT 아레나,KT,현대모비스
372,"20240406",플레이오프,잠실학생체육관,SK,KCC
373,"20240407",플레이오프,수원 KT 아레나,KT,현대모비스
374,"20240408",플레이오프,부산사직체육관,KCC,SK
375,"20240409",플레이오프,울산동천체육관,현대모비스,KT
376,"20240411",플레이오프,울산동천체육관,현대모비스,KT
377,"20240415",플레이오프,원주종합체육관,DB,KCC
378,"20240416",플레이오프,창원체육관,LG,KT
379,"20240417",플레이오프,원주종합체육관,DB,KCC
380,"20240418",플레이오프,창원체육관,LG,KT
381,"20240419",플레이오프,부산사직체육관,KCC,DB
382,"20240420",플레이오프,수원 KT 아레나,KT,LG
383,"20240421",플레이오프,부산사직체육관,KCC,DB
384,"20240422",플레이오프,수원 KT 아레나,KT,LG
385,"20240424",플레이오프,창원체육관,LG,KT
386,"20240427",챔피언결정전,수원 KT 아레나,KT,KCC
387,"20240429",챔피언결정전,수원 KT 아레나,KT,KCC
388,"20240301",정규시즌,잠실학생체육관,SK,한국가스공사
389,"20240301",정규시즌,울산동천체육관,현대모비스,소노
390,"20240301",정규시즌,창원체육관,LG,KGC
391,"20240302",정규시즌,부산사직체육관,KCC,KT
392,"20240302",정규시즌,원주종합체육관,DB,한국가스공사
393,"20240302",정규시즌,잠실실내체육관,삼성,현대모비스
394,"20240303",정규시즌,수원 KT 아레나,KT,LG
395,"20240303",정규시즌,안양 정관장 아레나,KGC,소노
396,"20240303",정규시즌,잠실학생체육관,SK,KCC
397,"20240304",정규시즌,잠실실내체육관,삼성,한국가스공사
398,"20240305",D리그 1차,이천 LG 챔피언스파크,KT,DB
399,"20240305",D리그 1차,이천 LG 챔피언스파크,한국가스공사,LG
400,"20240305",정규시즌,고양 소노 아레나,소노,KCC
401,"20240305",정규시즌,잠실학생체육관,SK,현대모비스
